date,ticker,spot,num_contracts,expirations,call_volume,put_volume,call_oi,put_oi,pc_volume_ratio,pc_oi_ratio,atm_iv,net_gex_total,gamma_magnet_strike,gamma_magnet_gex,gamma_gap_distance,gamma_gap_score,gamma_positive_zone
2026-08-06,INTC,99.81,720,2026-08-07|2026-08-10|2026-08-12|2026-08-14,285548,136972,296970,199518,0.4796811744435261,0.6718456409738357,0.88135,345606.183,105.0,70376.40000000001,5.189999999999998,12.553836857744477,1.0
2026-08-06,IWM,298.25,698,2026-08-07|2026-08-10|2026-08-11|2026-08-12,116346,133667,165359,462566,1.1488749076031837,2.797343960715776,0.20135,254026.129,300.0,110002.467,1.75,21.478851125719107,1.0
2026-08-06,META,589.9,1456,2026-08-07|2026-08-10|2026-08-12|2026-08-14,139912,42619,155541,81553,0.3046128995368517,0.5243183469310343,0.4223,49531.952,600.0,18689.588,10.100000000000025,27.19144184274597,1.0
2026-08-06,MRVL,210.54,836,2026-08-07|2026-08-14|2026-08-21|2026-08-28,55449,42480,284708,205744,0.7661093978250284,0.7226491703780715,1.05015,82149.002,240.0,18266.753,29.460000000000008,3.6232052597355895,1.0
2026-08-06,MSFT,499.86,850,2026-08-07|2026-08-10|2026-08-12|2026-08-14,282859,112516,166375,151610,0.3977812266889157,0.9112546957175056,0.38125,110067.073,500.0,32483.234,0.1399999999999863,38.99332816072228,1.0
2026-08-06,MU,881.47,2498,2026-08-07|2026-08-10|2026-08-12|2026-08-14,356147,287552,206917,319736,0.8073969456432316,1.545237945649705,0.8607499999999999,7382.844000000002,900.0,6171.965,18.529999999999973,23.174919106172545,1.0
2026-08-06,NFLX,73.69,536,2026-08-07|2026-08-14|2026-08-21|2026-08-28,129535,60116,685408,338715,0.46409078627398,0.4941801087819226,0.3664,1136899.934,75.0,462574.074,1.3100000000000025,32.444539023468856,1.0
2026-08-06,NVDA,218.99,586,2026-08-07|2026-08-10|2026-08-12|2026-08-14,1558816,689345,866314,510210,0.4422234567774516,0.5889435008553481,0.40845,1732971.727,220.0,462923.27100000007,1.009999999999991,30.71229358120844,1.0
2026-08-06,PENG,56.26,208,2026-08-21|2026-09-18|2026-10-16|2026-12-18,3655,488,34920,27048,0.133515731874145,0.7745704467353952,1.06655,3406.523000000002,75.0,5530.826,18.74,4.669652743098503,0.0
2026-08-06,QQQ,714.65,1770,2026-08-07|2026-08-10|2026-08-11|2026-08-12,685454,752922,417491,698032,1.0984281950356989,1.6719689765767405,0.24825,103100.27100000004,725.0,35639.581000000006,10.350000000000025,10.59532120640518,1.0
2026-08-06,SMH,571.48,1236,2026-08-07|2026-08-10|2026-08-12|2026-08-14,22059,88467,89985,385927,4.01047191622467,4.288792576540534,0.51275,15732.468000000004,575.0,6502.973,3.519999999999982,14.388614872696715,1.0
2026-08-06,SNDK,1258.58,3224,2026-08-07|2026-08-14|2026-08-21|2026-08-28,175611,135444,174796,192266,0.771272870150503,1.099945078834756,1.2535500000000002,-1091.487,1260.0,91.175,1.4200000000000728,8.032539984374301,1.0
2026-08-06,SOXL,132.33,1468,2026-08-07|2026-08-14|2026-08-21|2026-08-28,78451,140593,208920,529199,1.7921122739034556,2.533022209458166,1.85805,13479.425,140.0,7513.399,7.6699999999999875,4.148481290036164,0.0
2026-08-06,SPY,768.56,1420,2026-08-07|2026-08-10|2026-08-11|2026-08-12,1082711,1280619,565688,1215532,1.1827893131223384,2.148767518490758,0.1411,-57965.70300000001,775.0,76082.94300000001,6.440000000000055,6.776960105289306,0.0
2026-08-06,TSLA,319.53,1132,2026-08-07|2026-08-10|2026-08-12|2026-08-14,596602,521530,387512,304239,0.8741673678599804,0.7851085901855942,0.44075,250985.328,325.0,52613.12,5.470000000000027,8.593085728751818,0.0
2026-08-07,AAPL,313.33,584,2026-08-07|2026-08-10|2026-08-12|2026-08-14,823307,287358,409967,203821,0.3490289770401563,0.4971644059155981,0.2104,343158.445,315.0,89812.206,1.670000000000016,27.76821060197345,1.0
2026-08-07,AMD,483.36,1698,2026-08-07|2026-08-10|2026-08-12|2026-08-14,277460,202813,224460,227081,0.7309630216968211,1.0116769134812438,0.49235,-2165.1260000000066,485.0,10453.1,1.6399999999999864,16.16737801942689,1.0
